ID,OriginalAmount,TermYears,Collateral_valuation,CurrentInstallment,Rate,PD,LGD
18101,2067863,35,678311,306,8.20%,0.47%,49.8%
7835,309683,22,259913,166,11.70%,17.61%,27.9%
26416,2998421,21,2218432,133,9.20%,1.44%,57.1%
7304,483754,23,246967,152,3.20%,16.82%,40.6%
14807,1808956,37,499590,93,11.40%,0.67%,45.8%
7354,717525,36,248224,139,3.20%,0.56%,8.3%
7847,565699,23,260290,126,6.30%,0.10%,83.3%
8958,311694,22,291585,257,5.50%,6.01%,73.2%
3091,1506060,23,140891,244,5.60%,93.25%,36.5%
5515,163137,11,201093,114,11.90%,11.87%,59.4%
24794,1701874,34,1549044,58,5.80%,0.00%,68.1%
13141,1653109,23,428956,109,5.50%,4.20%,40.5%
25563,4812027,31,1797645,10,11.40%,20.36%,37.4%
18053,638973,32,675798,86,8.20%,0.62%,39.2%
26260,1771880,12,2126180,114,12.00%,68.51%,48.2%
6213,535913,12,218060,67,12.00%,99.89%,16.2%
8888,287814,23,289574,231,5.60%,0.10%,31.3%
17658,1440077,22,652672,85,10.10%,16.50%,92.5%
15330,444667,11,522716,28,11.00%,7.71%,62.6%
2591,443158,22,127066,86,2.10%,11.50%,63.2%
25916,3275049,35,1936525,233,12.70%,18.85%,35.1%
385,1166339,23,48765,167,9.20%,0.62%,43.3%
27307,2701557,24,2886186,23,3.70%,13.33%,86.6%
22547,870984,21,1101486,247,11.70%,19.11%,71.8%
28337,10240781,58,6439623,398,11.60%,0.26%,17.8%
13381,3233574,35,438634,112,5.80%,20.40%,65.9%
6387,259284,21,222208,22,4.40%,0.04%,16.4%
3060,1020923,11,139760,65,12.10%,44.67%,70.7%
2542,400426,22,125934,118,10.80%,4.45%,50.0%
28123,5996339,23,4690743,73,8.30%,92.70%,62.3%
2434,296612,11,123044,46,10.90%,1.21%,83.6%
5,169169,24,3645,223,8.60%,44.42%,1.6%
20506,2038705,35,870355,385,4.10%,1.11%,29.7%
17191,495191,24,622634,98,9.90%,4.08%,28.9%
23803,1773765,35,1317158,126,10.00%,24.68%,34.6%
18028,940109,11,673787,110,7.40%,2.16%,36.7%
19050,1302831,22,747689,247,4.40%,30.53%,17.4%
27620,5096197,54,3285858,636,2.90%,1.09%,77.4%
19308,2308798,68,768049,552,10.60%,40.75%,64.3%
18095,831896,26,677934,56,6.10%,2.39%,57.7%
11117,552880,34,357820,317,5.10%,9.17%,51.5%
10759,409224,13,346005,151,10.50%,0.74%,89.6%
16880,965372,31,604787,316,11.50%,62.00%,76.2%
8703,291585,11,284295,47,7.70%,3.42%,78.4%
5852,225852,23,209639,114,10.60%,0.97%,45.0%
4071,607175,23,165650,34,3.50%,1.05%,76.1%
23714,1106765,22,1298934,181,11.90%,3.04%,40.7%
6865,263432,12,234399,84,4.60%,82.15%,30.3%
15703,559541,40,539809,237,10.90%,2.54%,32.0%
23740,1849301,47,1304213,450,12.70%,65.58%,65.7%
17272,903661,61,627536,488,11.60%,41.44%,15.5%
8688,484885,11,283918,80,4.70%,16.25%,69.7%
5680,302770,23,205115,88,9.90%,4.40%,63.7%
20140,1720978,58,835415,5,3.30%,4.92%,2.1%
23456,1126497,23,1251803,204,6.40%,9.50%,50.1%
25578,2286301,24,1802923,95,12.20%,9.38%,36.4%
11505,317978,23,371645,61,9.70%,13.07%,8.1%
11424,1185945,12,368377,73,9.00%,60.76%,82.9%
25580,1817754,22,1804180,134,7.70%,89.12%,74.7%
4506,481115,23,177464,8,2.70%,5.64%,49.9%
8473,427322,23,277760,8,4.10%,13.25%,54.4%
7389,569973,11,248601,70,4.40%,0.00%,39.6%
15352,1112546,22,523596,177,3.30%,14.54%,48.6%
11621,365486,47,374913,97,3.50%,36.72%,24.4%
7222,366995,23,244956,90,8.20%,2.52%,65.6%
23553,1580339,48,1264749,337,2.40%,17.84%,35.4%
1310,143530,21,90115,8,2.10%,3.95%,61.7%
19851,1184940,47,810279,207,12.30%,3.70%,84.5%
9073,336579,23,295732,52,12.60%,0.34%,39.3%
7689,393639,36,256268,208,8.60%,11.31%,78.9%
28440,10072743,23,10798940,202,8.00%,0.91%,13.3%
15641,1402246,12,536541,113,7.10%,92.53%,57.6%
20428,927918,22,861432,195,10.50%,17.09%,51.3%
9946,509393,11,317601,84,8.70%,0.44%,52.7%
25777,1458175,35,1873180,31,7.90%,29.25%,60.4%
10463,622634,22,335951,251,4.30%,16.76%,68.4%
9031,315213,23,294098,88,2.10%,0.67%,75.7%
8673,488404,23,283918,143,8.10%,1.96%,26.7%
1445,297115,11,94262,76,6.90%,0.95%,53.7%
2783,203858,24,132847,65,3.60%,15.65%,38.1%
13453,342361,24,441525,241,8.00%,2.35%,26.1%
14489,472820,35,485011,6,3.90%,13.39%,65.6%
8824,238044,12,287563,109,5.60%,0.36%,46.3%
21595,1750262,14,981333,39,8.70%,2.13%,8.1%
21064,1964426,12,921634,54,11.60%,65.09%,70.1%
834,185257,12,71891,7,8.90%,23.50%,57.0%
14889,552754,22,501978,201,7.20%,16.99%,60.4%
4253,372525,12,170552,26,5.40%,3.83%,56.3%
21395,1004333,35,959339,258,10.00%,0.14%,33.0%
20205,657071,23,841197,269,12.00%,1.48%,21.3%
3988,391126,24,164142,14,3.90%,5.33%,30.4%
21994,2949404,13,1030475,111,10.20%,70.34%,42.6%
10496,517311,11,336705,129,12.00%,75.86%,24.9%
13421,365235,34,440268,314,9.10%,2.70%,43.8%
1434,251743,23,93885,197,3.50%,0.29%,43.1%
17569,972913,47,647016,232,6.00%,6.58%,41.7%
16805,693142,22,600765,58,4.60%,42.26%,10.1%
25809,1729525,35,1888262,61,10.80%,7.10%,91.9%
16736,1588508,22,595863,96,10.60%,0.00%,83.9%
24006,1025322,46,1354989,289,3.90%,39.91%,28.5%
26875,5973590,47,2497448,477,4.00%,22.63%,76.2%
15155,707596,22,515049,199,7.40%,0.02%,54.5%
10848,518945,23,348896,8,5.80%,3.92%,75.4%
21584,944760,44,980454,138,12.50%,90.77%,44.4%
23676,4752579,48,1292022,532,8.60%,12.77%,40.2%
26748,2369503,12,2404443,79,2.00%,1.45%,75.0%
17333,616475,35,631180,372,7.40%,15.23%,29.0%
24978,1205552,47,1599066,45,6.50%,0.01%,26.5%
13655,439262,12,449191,97,7.30%,6.64%,67.6%
5697,432978,47,205492,475,4.40%,7.53%,68.4%
6152,218814,23,216049,252,5.90%,1.74%,57.5%
23581,808016,24,1271284,143,5.80%,7.57%,46.6%
8760,280650,23,285929,43,6.50%,55.57%,22.1%
7952,191290,21,263180,236,4.70%,2.32%,28.9%
12994,448186,22,424055,8,12.20%,0.27%,14.2%
10215,534907,13,326148,32,4.70%,0.25%,44.1%
8567,319486,23,280650,103,5.30%,21.23%,48.8%
15237,484257,23,517814,212,4.60%,0.04%,29.1%
24730,2002634,59,1531574,274,8.50%,0.13%,77.9%
6823,389366,21,233519,139,6.50%,0.28%,29.5%
8947,859044,47,291585,465,6.90%,0.37%,43.5%
27340,2846344,24,2921126,56,3.80%,91.70%,18.1%
24634,1918049,13,1504049,142,7.80%,21.87%,74.0%
5986,293093,12,212404,132,10.70%,0.02%,57.7%
4130,255514,24,167284,153,12.60%,13.27%,40.9%
17601,784514,34,648650,251,11.40%,59.52%,73.1%
27544,4910940,23,3172869,154,5.80%,1.10%,55.4%
13119,702820,58,427699,180,9.80%,41.56%,39.3%
17729,678060,11,656820,32,7.50%,90.19%,21.2%
22226,769683,48,1059634,302,2.60%,15.70%,23.7%
13158,710486,47,429333,453,12.30%,33.32%,46.1%
17945,496197,21,668508,5,7.70%,9.63%,38.5%
26794,5328333,23,2432847,116,3.10%,17.02%,62.6%
12241,2255005,19,395148,161,4.30%,81.49%,54.8%
3955,371016,12,162885,76,3.40%,0.12%,57.5%
2211,159492,12,117388,44,7.50%,3.11%,47.1%
7331,709481,46,247721,439,2.80%,39.22%,49.8%
19009,608934,22,744923,160,12.60%,0.22%,59.7%
15197,701689,11,516180,76,8.70%,96.13%,34.1%
4137,340475,24,167787,274,6.40%,0.00%,53.7%
4862,453967,12,185634,140,10.20%,18.94%,57.5%
12366,621503,36,400049,80,6.50%,6.96%,7.3%
21787,1587126,45,1003202,409,5.10%,0.01%,83.7%
23015,2271093,20,1175011,150,2.30%,30.65%,33.6%
10998,1260852,22,353798,192,4.90%,80.94%,37.9%
25576,1418962,45,1802923,91,3.50%,11.01%,20.9%
8969,588951,22,292087,99,9.50%,54.83%,17.3%
8418,340350,22,276628,16,4.30%,17.45%,41.4%
10724,725945,23,344874,144,3.20%,51.64%,63.9%
20370,987240,36,856530,410,9.60%,0.19%,62.8%
25422,2334060,45,1739202,412,5.30%,0.94%,36.9%
20536,905923,34,871989,133,10.60%,17.72%,52.3%
6089,236158,12,214918,128,12.40%,20.92%,81.0%
19985,1135798,12,822093,54,3.20%,17.96%,56.5%
8028,328536,22,265191,60,2.90%,0.08%,92.8%
6211,399923,36,218060,347,5.30%,53.05%,27.3%
23936,1904601,22,1342295,8,5.40%,1.27%,41.1%
22386,1739202,12,1078738,109,7.30%,5.09%,52.8%
23020,1347197,34,1175388,166,4.90%,2.65%,53.1%
12118,472443,32,391126,204,12.30%,2.39%,50.2%
20528,700557,23,871612,209,12.20%,0.04%,47.5%
853,216426,22,72645,257,7.30%,55.86%,91.2%
18384,940235,35,697415,167,10.70%,1.85%,30.9%
12128,788410,35,391503,222,2.20%,9.55%,28.9%
17638,736880,35,651038,308,6.80%,9.77%,17.0%
13808,869475,22,455727,175,5.00%,8.06%,8.3%
7602,998426,34,253880,104,2.30%,89.58%,44.5%
3629,147175,23,154339,182,10.70%,47.21%,68.2%
6155,245962,22,216049,3,2.20%,25.27%,81.9%
430,302142,23,52033,273,10.00%,66.15%,57.7%
22208,1017530,23,1058503,270,10.00%,38.73%,57.5%
7935,1238984,35,262426,45,4.80%,0.25%,32.6%
11413,642366,23,368000,27,4.40%,78.23%,59.5%
358,167284,23,46754,24,3.80%,91.24%,56.3%
3735,315087,11,157984,69,13.00%,7.04%,36.2%
16232,805377,35,567459,174,6.70%,7.43%,53.7%
5341,550240,19,197825,147,3.60%,21.57%,80.2%
20278,1821273,11,847607,126,12.10%,29.17%,75.5%
14399,797710,34,480486,53,3.10%,16.77%,14.7%
15683,561049,15,538552,115,6.20%,0.32%,23.5%
20115,1137055,36,833404,235,8.00%,0.33%,42.6%
15664,1248661,23,537798,193,2.10%,71.68%,6.2%
27559,4997410,25,3194863,117,9.50%,0.02%,29.9%
27925,7568131,36,3939787,362,9.60%,56.60%,36.9%
17425,595109,35,638470,399,6.70%,2.84%,6.7%
6129,419907,24,215672,29,2.10%,55.87%,48.0%
8992,293093,23,292842,148,10.60%,0.00%,79.8%
14694,680699,24,493934,65,6.50%,30.47%,68.0%
16621,813672,12,588574,3,8.30%,14.40%,70.0%
5634,313454,23,203858,56,2.90%,3.27%,48.7%
19002,552251,22,743667,49,9.20%,0.00%,32.1%
26696,2930175,51,2380437,48,5.70%,9.24%,69.7%
25616,1391186,11,1815995,11,7.80%,2.52%,76.3%
12235,847732,34,394770,108,2.00%,0.00%,35.1%
27646,4288432,34,3352847,51,8.70%,78.48%,7.7%
26459,3301820,35,2236656,345,7.60%,0.00%,54.2%
7030,266322,21,238798,92,5.70%,95.71%,71.9%
14245,482246,24,473951,176,8.70%,1.97%,13.3%
6809,344120,23,233142,58,13.00%,37.30%,46.5%
24276,1474388,22,1414186,247,9.80%,0.00%,61.4%
2290,481743,24,119399,162,12.30%,75.36%,38.2%
24697,1341290,12,1521896,111,7.60%,2.56%,5.7%
2912,355055,23,136115,50,3.30%,19.39%,66.5%
10071,591213,36,322126,154,4.40%,8.05%,71.2%
21664,1706148,36,990257,398,8.30%,0.01%,43.1%
1210,194432,12,86093,12,5.10%,13.04%,23.6%
2223,311443,24,117765,213,7.00%,57.21%,21.9%
13463,440770,22,441902,117,10.30%,66.69%,78.6%
1080,162885,11,81191,52,3.40%,20.44%,29.6%
2132,241814,12,115000,120,11.80%,29.27%,92.0%
25424,2036317,21,1740333,88,3.10%,57.88%,83.2%
19837,837678,32,809022,110,5.40%,94.34%,50.8%
20814,1441333,47,898383,337,11.00%,13.52%,59.5%
25044,1277191,22,1618923,116,7.00%,1.90%,60.4%
17236,664109,34,625525,344,8.00%,15.18%,39.7%
26641,2025005,35,2331295,70,9.80%,15.56%,39.5%
5643,202475,23,203858,156,6.90%,0.99%,62.1%
20638,1004710,11,880158,60,2.00%,29.13%,20.1%
24557,1879716,23,1479290,245,5.50%,64.41%,72.3%
26605,4643738,35,2307792,91,8.40%,1.66%,24.6%
16457,456355,23,579650,176,8.10%,20.37%,58.7%
21063,2495186,23,921634,55,8.10%,1.40%,27.2%
7023,519825,11,238798,79,8.20%,49.09%,19.0%
8244,654432,23,270847,127,5.40%,24.89%,51.7%
22933,3474383,47,1162443,198,8.70%,3.63%,7.7%
26406,1577951,36,2216044,239,6.30%,0.04%,87.1%
10582,739770,21,339973,235,2.50%,29.64%,70.9%
27525,7687656,59,3151754,110,8.40%,64.48%,83.5%
13239,704579,23,432601,215,5.20%,2.24%,67.0%
21332,1582224,23,952426,184,9.20%,1.43%,38.3%
5460,204361,22,199836,147,2.90%,20.28%,57.2%
26034,1665049,23,2000749,159,5.30%,0.94%,24.5%
17015,892978,23,613333,39,6.00%,74.41%,70.2%
24429,1058628,23,1449126,29,9.80%,6.35%,68.0%
16098,553131,12,560923,138,9.00%,33.28%,50.1%
14975,743667,22,506126,211,10.00%,21.83%,47.3%
4011,157732,22,164519,103,4.50%,55.64%,71.2%
6471,262301,22,224219,137,9.10%,10.78%,75.0%
13722,524727,11,451705,18,2.80%,14.47%,80.5%
9419,364858,11,304656,40,5.10%,0.19%,82.0%
24959,1810087,48,1591273,35,11.10%,0.00%,75.1%
921,197448,11,75158,101,10.90%,89.60%,17.2%
10941,502104,33,351787,54,10.00%,52.12%,23.6%
26948,5096071,35,2547847,170,3.50%,0.10%,46.4%
17101,519699,24,618235,153,4.50%,9.47%,18.8%
3157,397033,47,142525,321,8.90%,0.04%,72.9%
5616,440142,24,203481,224,12.00%,35.56%,29.3%
25185,1167596,24,1656754,128,10.80%,2.43%,25.1%
6304,797082,36,220574,158,7.20%,46.06%,90.8%
17722,596995,23,655940,166,8.20%,4.38%,6.4%
23962,939607,11,1347197,8,10.00%,41.64%,39.8%
20932,1244262,35,909443,194,4.80%,16.96%,41.8%
6699,199459,22,229874,155,2.80%,41.57%,18.5%
27337,3252049,35,2918235,30,13.00%,5.00%,61.5%
26998,3401361,46,2588443,138,10.40%,2.18%,53.9%
19688,1292650,16,796831,153,6.60%,3.71%,19.4%
23113,980202,21,1193738,146,3.30%,76.85%,77.2%
26943,2748060,23,2546213,81,3.40%,0.01%,22.9%
18646,889208,12,715262,42,5.20%,0.24%,83.4%
19116,1285109,42,752590,480,3.40%,38.97%,77.2%
19592,1619678,35,788787,375,2.70%,13.71%,42.9%
25941,1974230,23,1955628,142,4.10%,58.64%,50.3%
19457,576760,22,778984,252,5.20%,65.47%,25.0%
11208,404699,23,361087,109,9.00%,78.32%,72.3%
224,416514,11,36574,90,8.80%,0.02%,31.6%
24494,1318792,23,1465842,246,9.30%,17.82%,69.6%
17114,851126,34,619366,159,10.50%,5.48%,33.4%
22532,3112164,48,1099098,487,7.00%,0.46%,33.8%
12587,370765,21,408596,55,11.30%,51.44%,46.4%
26942,7240475,45,2544956,408,7.00%,2.37%,52.8%
22657,922639,23,1116568,177,4.90%,0.24%,61.1%
6635,996541,13,228240,42,5.00%,6.68%,45.1%
21526,1401240,12,973164,101,3.30%,27.27%,32.7%
8926,2622628,27,290831,304,10.50%,12.93%,49.4%
2073,710738,23,113366,243,3.20%,37.65%,67.3%
26546,2771940,33,2278131,51,4.00%,2.12%,25.3%
5898,405956,24,211148,226,4.90%,0.01%,45.3%
22461,1004962,13,1089672,67,10.60%,21.66%,26.1%
13,160623,22,6913,64,12.90%,0.00%,69.3%
6408,908563,21,222585,218,10.80%,21.18%,23.7%
20489,1220383,23,869224,247,12.30%,7.79%,57.7%
4588,203355,20,179098,31,3.60%,2.85%,61.8%
