ID,OriginalAmount,Term,YearlyInterestRate,CurrentInstallment,PD
1,8305,23,19%,6,86.23%
2,3380,22,26%,10,0.36%
3,6955,35,29%,17,12.23%
4,13443,23,10%,14,83.99%
5,4037,22,15%,9,1.03%
6,1548,22,29%,10,27.83%
7,1985,47,19%,13,0.05%
8,6375,35,12%,1,35.75%
9,5247,22,13%,5,7.01%
10,3002,22,19%,18,66.65%
11,11139,21,9%,8,14.16%
12,3814,37,19%,17,69.42%
13,11338,35,17%,10,1.82%
14,15914,23,25%,1,34.87%
15,2044,11,12%,5,2.10%
16,15293,23,19%,16,9.58%
17,1342,24,20%,5,58.15%
18,25888,23,17%,10,0.13%
19,10325,47,12%,1,60.54%
20,6165,28,21%,14,39.95%
21,5316,24,19%,6,97.47%
22,5619,24,9%,9,0.02%
23,1703,31,5%,14,56.58%
24,66836,22,21%,4,10.55%
25,18661,34,13%,4,34.59%
26,13051,36,23%,2,40.30%
27,8602,23,20%,4,0.13%
28,8069,23,12%,3,0.00%
29,2181,20,27%,7,9.39%
30,4745,23,10%,9,8.49%
31,10469,11,15%,5,53.43%
32,3768,24,20%,16,0.85%
33,27044,36,15%,14,6.41%
34,15437,23,26%,5,98.85%
35,2553,22,27%,12,0.05%
36,3670,20,11%,11,29.49%
37,4399,21,23%,12,0.96%
38,2607,12,13%,8,21.63%
39,6703,23,8%,18,8.24%
40,7619,23,22%,1,0.33%
41,3773,22,7%,12,0.44%
42,4192,23,27%,4,1.12%
43,4279,36,11%,30,67.62%
44,5746,35,19%,12,13.31%
45,3846,21,11%,4,72.90%
46,13277,63,28%,12,0.18%
47,4025,36,14%,16,0.12%
48,5360,43,25%,27,0.32%
49,16455,47,26%,19,46.83%
50,14721,48,26%,38,6.01%
51,52623,35,13%,28,2.32%
52,8290,23,20%,5,7.32%
53,6422,47,29%,22,20.58%
54,3373,59,22%,38,3.37%
55,1733,22,16%,20,54.64%
56,5379,45,25%,10,35.87%
57,3540,30,14%,14,91.21%
58,1826,22,19%,8,0.30%
59,1957,47,27%,45,85.50%
60,4082,31,25%,22,67.05%
61,4870,37,14%,10,0.28%
62,1860,11,24%,6,47.22%
63,3656,35,28%,28,0.14%
64,7014,46,25%,37,73.01%
65,5289,47,31%,21,69.19%
66,11991,22,9%,4,60.88%
67,7313,23,14%,6,1.49%
68,8414,11,17%,5,2.13%
69,6943,18,15%,15,34.90%
70,1239,22,9%,12,71.82%
71,73362,23,28%,15,10.23%
72,1221,47,13%,2,0.00%
73,8555,23,29%,15,36.52%
74,61637,23,13%,14,70.04%
75,2154,22,13%,18,4.64%
76,6260,47,9%,40,0.00%
77,6011,12,16%,8,3.98%
78,3182,21,17%,19,62.93%
79,2277,11,29%,9,0.00%
80,17779,23,21%,5,2.24%
81,1619,24,10%,6,76.52%
82,6529,20,5%,10,3.89%
83,3460,36,15%,14,30.71%
84,5522,13,13%,4,11.32%
85,1564,33,9%,6,0.00%
86,16988,11,16%,3,75.65%
87,6044,47,31%,25,1.76%
88,18350,24,5%,3,13.54%
89,1498,24,15%,20,0.42%
90,26966,23,30%,11,1.63%
91,10895,24,29%,1,17.51%
92,1454,20,7%,6,2.65%
93,12500,23,20%,3,6.06%
94,16381,36,24%,34,51.99%
95,5897,22,28%,9,37.74%
96,6271,12,14%,5,61.18%
97,7908,12,21%,7,0.02%
98,2822,23,30%,15,0.56%
99,8351,34,16%,5,16.87%
100,13516,36,17%,25,73.75%
101,3272,23,14%,6,1.95%
102,5217,17,15%,7,9.14%
103,5272,11,16%,6,25.25%
104,11522,11,23%,2,5.46%
105,1425,23,19%,19,0.40%
106,13535,59,20%,26,1.49%
107,9958,20,30%,5,49.88%
108,7743,60,22%,16,0.24%
109,1984,18,24%,8,10.40%
110,9270,24,26%,21,0.00%
111,8097,23,9%,5,56.55%
112,1784,23,9%,19,0.00%
113,3280,47,8%,10,1.39%
114,21507,18,14%,14,34.52%
115,5968,23,28%,4,19.05%
116,3826,13,12%,7,25.76%
117,3421,22,15%,8,33.95%
118,6378,47,16%,10,10.26%
119,1203,43,32%,24,83.45%
120,11672,23,8%,15,0.73%
121,82842,22,12%,5,14.30%
122,33519,47,8%,39,33.96%
123,10209,35,18%,2,1.10%
124,4558,24,27%,14,0.11%
125,6981,47,28%,35,36.04%
126,1506,24,5%,19,62.94%
127,7213,24,21%,8,20.56%
128,7556,47,20%,21,12.75%
129,3638,35,25%,24,0.01%
130,3706,46,28%,15,67.98%
131,9528,35,20%,23,0.10%
132,6997,35,6%,20,8.68%
133,6932,48,30%,6,4.67%
134,10159,25,11%,11,2.83%
135,3952,28,23%,2,40.51%
136,9571,46,28%,37,8.57%
137,5920,24,7%,9,10.54%
138,5876,24,27%,20,68.60%
139,2152,34,16%,24,6.50%
140,5008,21,32%,9,2.74%
141,23657,22,24%,9,49.37%
142,21025,35,9%,11,0.06%
143,3862,59,9%,38,0.51%
144,6363,23,11%,14,26.44%
145,6526,12,24%,8,7.88%
146,3971,11,14%,9,23.29%
147,5793,35,27%,19,1.39%
148,3022,12,7%,2,15.83%
149,4433,35,18%,5,11.43%
150,8555,24,14%,21,0.57%
151,2591,11,17%,8,32.54%
152,12204,22,14%,19,37.62%
153,2587,22,14%,6,80.12%
154,4191,34,27%,17,2.64%
155,10899,47,7%,32,18.07%
156,4045,23,31%,6,29.09%
157,5444,24,19%,16,2.86%
158,4736,22,20%,11,0.15%
159,28124,26,29%,9,32.55%
160,8613,24,13%,20,12.24%
161,3987,12,15%,4,9.00%
162,1655,24,10%,12,43.26%
163,3768,24,17%,12,4.49%
164,35550,52,6%,39,79.96%
165,8829,23,16%,14,71.89%
166,7168,24,23%,22,36.21%
167,4402,38,20%,29,0.79%
168,8975,22,20%,2,11.57%
169,13875,23,32%,2,14.23%
170,2547,23,11%,9,40.20%
171,17029,22,21%,12,7.69%
172,1487,24,15%,2,0.02%
173,4254,12,32%,6,78.48%
174,33711,23,12%,12,20.30%
175,8471,23,13%,11,2.19%
176,3430,21,30%,8,0.02%
177,9407,22,16%,14,7.22%
178,22432,23,14%,5,0.23%
179,19791,23,9%,19,14.02%
180,4026,24,22%,20,42.52%
181,6568,34,32%,7,7.78%
182,17183,23,25%,3,0.84%
183,5839,35,11%,1,13.08%
184,14809,24,26%,7,60.46%
185,2993,23,25%,9,5.44%
186,8397,23,10%,12,16.86%
187,3547,48,29%,11,27.94%
188,4495,11,25%,1,3.51%
189,2268,12,14%,1,44.18%
190,6259,23,23%,16,11.87%
191,17366,22,27%,12,0.02%
192,8160,11,16%,7,4.21%
193,2096,23,19%,18,3.90%
194,13484,23,15%,9,0.23%
195,5261,34,15%,28,5.38%
196,7211,19,22%,13,58.66%
197,8351,23,25%,11,10.26%
198,1398,45,8%,38,77.88%
199,24922,33,28%,3,1.68%
200,2119,11,17%,4,0.73%
201,4227,23,14%,21,36.98%
202,14550,47,24%,20,0.16%
203,4630,17,26%,7,5.99%
204,5701,34,25%,21,0.87%
205,4950,24,23%,6,22.25%
206,2050,23,7%,2,6.54%
207,3530,18,22%,12,2.21%
208,16605,23,25%,14,6.87%
209,2629,19,10%,17,39.60%
210,3130,23,13%,5,0.19%
211,5056,20,12%,6,35.04%
212,3749,21,9%,5,2.39%
213,1324,11,32%,3,0.19%
214,7958,45,29%,20,0.69%
215,4729,43,14%,22,0.13%
216,1830,59,20%,47,1.02%
217,13115,35,18%,31,20.29%
218,1365,34,31%,4,0.00%
219,7578,11,9%,8,8.62%
220,35071,35,18%,6,4.65%
221,21803,23,32%,19,6.50%
222,7970,23,21%,10,28.70%
223,5670,23,24%,14,33.73%
224,2378,19,9%,17,0.04%
225,1909,46,16%,29,3.69%
226,4706,47,7%,32,0.19%
227,4894,37,13%,22,6.99%
228,7568,17,12%,13,25.29%
229,10553,23,11%,19,0.96%
230,80344,35,22%,8,19.40%
231,39572,24,25%,15,27.48%
232,3153,13,17%,3,95.42%
233,3101,22,15%,19,55.27%
234,5652,23,5%,6,0.00%
235,3501,19,12%,5,3.40%
236,5419,22,15%,3,86.64%
237,3659,11,18%,8,50.42%
238,9729,21,18%,10,27.05%
239,16156,22,32%,10,11.12%
240,4633,12,15%,4,1.03%
241,6964,36,27%,26,82.47%
242,13433,28,12%,10,6.38%
243,14654,22,13%,6,53.94%
244,8670,21,27%,6,8.89%
245,2595,22,6%,12,7.77%
246,4057,59,20%,39,8.58%
247,1652,23,28%,4,7.32%
248,1825,11,28%,9,28.89%
249,7750,32,27%,25,0.03%
250,2504,21,23%,15,58.76%
251,1882,24,12%,1,49.28%
252,3737,22,17%,11,36.23%
253,4496,12,15%,9,17.07%
254,3675,11,20%,1,31.34%
255,6603,23,20%,21,2.04%
256,11272,19,19%,11,63.41%
257,6362,22,14%,8,94.24%
258,13809,23,28%,12,13.80%
259,7635,23,15%,9,0.55%
260,1768,13,31%,10,15.87%
261,2150,13,24%,8,1.86%
262,4823,23,9%,21,73.32%
263,10434,60,25%,23,0.02%
264,7116,47,12%,10,76.76%
265,5129,23,7%,20,84.65%
266,4797,22,24%,12,62.39%
267,7996,23,28%,10,96.40%
268,16757,11,12%,1,96.26%
269,5489,23,26%,8,13.85%
270,2319,36,5%,30,92.42%
271,2103,21,21%,14,24.45%
272,2420,23,9%,21,0.04%
273,2003,23,10%,3,24.57%
274,4299,35,9%,5,88.94%
275,2081,24,27%,8,22.10%
276,8246,23,23%,15,0.01%
277,2854,13,13%,9,87.28%
278,5276,22,21%,1,0.29%
279,4220,18,9%,6,4.95%
280,2619,35,32%,24,0.76%
281,22701,36,8%,28,0.01%
282,1286,21,15%,2,30.26%
283,45825,23,29%,12,51.96%
284,5058,23,6%,10,0.52%
285,6074,11,22%,7,7.04%
286,1274,20,28%,18,1.66%
